"","Subject_ID","Calibration","Benefit","Gender","mean_Susceptibility"
"1",1,1.57098216697147,0.933333333333337,"1",-0.246283712012957
"2",2,-0.621064814814815,9.15833333333333,"1",-0.0884148383988477
"3",3,-0.447512101767421,8.46666666666665,"0",-0.0300712856602594
"4",4,0.141815988873692,5.27500000000001,"1",-0.149170714483082
"5",5,0.0559325142123601,7.39166666666667,"0",-0.00529650120287308
"6",6,-0.608232118758435,6.63333333333333,"1",-0.0533137831607188
"7",7,0.22120211013555,4.975,"1",-0.18515465779404
"8",8,-0.094595311808934,2.59166666666667,"1",-0.183996859905677
"9",9,1.29655030165524,2.55,"1",-0.111734630419995
"10",10,0.124487583662926,4.47499999999999,"0",-0.101795017659805
"11",11,0.536525307797538,14.45,"1",0.099981326721359
"12",12,0.441989270652762,8.59166666666666,"1",0.100550136894859
"13",13,-0.505274196533218,4.16666666666667,"1",-0.0921932849790188
"14",14,0.96063122923588,8.425,"0",-0.0509330945439866
"15",15,0.426937441643324,7.6,"0",0.320169972679685
"16",16,0.628621816603815,1.15000000000001,"1",0.00964951252352843
"17",17,0.0218717876833942,14.025,"1",0.301150376032706
"18",18,-0.0493914068359583,4.76666666666667,"1",0.00804239138384976
"19",19,0.117342329885884,9.975,"0",0.0965332731378401
"20",20,-0.28616552529596,9.45833333333333,"1",-0.0354864491312221
"21",21,0.40594627389262,11.8166666666667,"1",0.155931512546199
"22",22,-0.278714026445424,3.26666666666667,"1",-0.10222765222638
"23",23,1.25067069081154,-1.1,"0",-0.0509441392365351
"24",24,-0.433706545750494,3.90833333333333,"1",-0.00963980686276682
"25",25,-0.163186813186813,4.85833333333332,"1",0.0575755614844612
"26",26,0.416666666666667,8.2,"1",0.199826910158733
"27",27,0.368154761904762,5.43333333333334,"1",-0.0284723986367495
"28",28,0.265725372205532,9.36666666666667,"1",-0.00170506904995494
"29",29,-0.401436781609195,11.2416666666667,"1",0.128693244475675
"30",30,0.31304830862353,11.1583333333333,"1",-0.0667691695614171
"31",31,-0.278399168976845,8.625,"1",0.126562236849183
"32",32,0.363319947456881,4.825,"0",0.00666146916366841
"33",33,0.496394230769231,-1.40833333333333,"0",-0.00478510519723992
"34",34,-0.192224880382775,6.66666666666667,"1",-0.0475094973864532
"35",35,0.442430323786256,8.25,"0",-0.0321839917416245
"36",36,0.59485707048777,5.98333333333333,"0",-0.122235768675199
"37",37,0.261998792798194,6.15,"1",-0.0492419103083719
"38",38,0.031652576489533,12.7,"1",0.138059761062383
"39",39,1.33438321020837,26.175,"0",0.0830225132371561
